product_offer_reference,stock_name,quantity,is_never_out_of_stock
offer1,Spryker MER000008 Warehouse 1,10,1
offer2,Budget Stationery MER000010 Warehouse 1,10,0
offer3,Spryker MER000008 Warehouse 1,10,1
offer4,Budget Stationery MER000010 Warehouse 1,10,0
offer5,Spryker MER000008 Warehouse 1,10,0
offer6,Budget Stationery MER000010 Warehouse 1,0,0
offer7,Spryker MER000008 Warehouse 1,10,1
offer8,Budget Stationery MER000010 Warehouse 1,10,1
offer9,Spryker MER000008 Warehouse 1,10,1
offer10,Budget Stationery MER000010 Warehouse 1,10,1
offer11,Office King MER000009 Warehouse 1,10,1
offer12,Office King MER000009 Warehouse 1,10,1
offer13,Office King MER000009 Warehouse 1,10,0
offer14,Office King MER000009 Warehouse 1,10,0
offer15,Office King MER000009 Warehouse 1,10,1
offer16,Office King MER000009 Warehouse 1,10,1
offer17,Office King MER000009 Warehouse 1,10,1
offer18,Office King MER000009 Warehouse 1,10,0
offer19,Office King MER000009 Warehouse 1,10,0
offer20,Office King MER000009 Warehouse 1,10,1
offer21,Office King MER000009 Warehouse 1,10,1
offer22,Office King MER000009 Warehouse 1,10,0
offer23,Office King MER000009 Warehouse 1,10,0
offer24,Office King MER000009 Warehouse 1,10,0
offer25,Office King MER000009 Warehouse 1,10,1
offer26,Office King MER000009 Warehouse 1,10,0
offer27,Office King MER000009 Warehouse 1,10,0
offer28,Office King MER000009 Warehouse 1,10,1
offer29,Office King MER000009 Warehouse 1,10,1
offer30,Office King MER000009 Warehouse 1,10,0
offer31,Office King MER000009 Warehouse 1,10,0
offer32,Office King MER000009 Warehouse 1,10,1
offer33,Office King MER000009 Warehouse 1,10,1
offer34,Office King MER000009 Warehouse 1,10,1
offer35,Office King MER000009 Warehouse 1,10,1
offer36,Office King MER000009 Warehouse 1,10,1
offer37,Office King MER000009 Warehouse 1,10,1
offer38,Office King MER000009 Warehouse 1,10,1
offer39,Office King MER000009 Warehouse 1,10,1
offer40,Office King MER000009 Warehouse 1,10,0
offer41,Office King MER000009 Warehouse 1,10,1
offer42,Office King MER000009 Warehouse 1,10,0
offer43,Office King MER000009 Warehouse 1,10,1
offer44,Office King MER000009 Warehouse 1,0,0
offer45,Office King MER000009 Warehouse 1,10,1
offer46,Office King MER000009 Warehouse 1,0,0
offer47,Office King MER000009 Warehouse 1,10,0
offer48,Office King MER000009 Warehouse 1,10,1
offer49,Office King MER000009 Warehouse 1,10,1
offer50,Office King MER000009 Warehouse 1,10,1
offer51,Office King MER000009 Warehouse 1,10,1
offer52,Office King MER000009 Warehouse 1,10,1
offer53,Office King MER000009 Warehouse 1,10,1
offer54,Office King MER000009 Warehouse 1,10,1
offer55,Office King MER000009 Warehouse 1,0,0
offer56,Office King MER000009 Warehouse 1,10,1
offer57,Office King MER000009 Warehouse 1,10,0
offer58,Office King MER000009 Warehouse 1,10,1
offer59,Office King MER000009 Warehouse 1,10,1
offer60,Office King MER000009 Warehouse 1,10,0
offer61,Office King MER000009 Warehouse 1,10,1
offer62,Office King MER000009 Warehouse 1,10,1
offer63,Office King MER000009 Warehouse 1,10,0
offer64,Office King MER000009 Warehouse 1,10,0
offer65,Office King MER000009 Warehouse 1,10,1
offer66,Office King MER000009 Warehouse 1,10,0
offer67,Office King MER000009 Warehouse 1,10,0
offer68,Office King MER000009 Warehouse 1,10,0
offer69,Office King MER000009 Warehouse 1,10,0
offer70,Office King MER000009 Warehouse 1,10,1
offer71,Office King MER000009 Warehouse 1,10,1
offer72,Office King MER000009 Warehouse 1,10,0
offer73,Office King MER000009 Warehouse 1,10,1
offer74,Office King MER000009 Warehouse 1,10,1
offer75,Office King MER000009 Warehouse 1,10,0
offer76,Office King MER000009 Warehouse 1,10,0
offer77,Office King MER000009 Warehouse 1,10,1
offer78,Office King MER000009 Warehouse 1,10,1
offer79,Office King MER000009 Warehouse 1,10,1
offer80,Office King MER000009 Warehouse 1,10,0
offer81,Office King MER000009 Warehouse 1,10,0
offer82,Office King MER000009 Warehouse 1,10,1
offer83,Office King MER000009 Warehouse 1,10,1
offer84,Office King MER000009 Warehouse 1,10,0
offer85,Office King MER000009 Warehouse 1,10,0
offer86,Office King MER000009 Warehouse 1,10,0
offer87,Office King MER000009 Warehouse 1,10,0
offer88,Office King MER000009 Warehouse 1,10,0
offer89,Office King MER000009 Warehouse 1,10,1
offer90,Office King MER000009 Warehouse 1,10,0
offer91,Office King MER000009 Warehouse 1,10,0
offer92,Office King MER000009 Warehouse 1,10,0
offer93,Office King MER000009 Warehouse 1,10,0
offer94,Office King MER000009 Warehouse 1,10,1
offer95,Office King MER000009 Warehouse 1,10,1
offer96,Office King MER000009 Warehouse 1,10,1
offer97,Office King MER000009 Warehouse 1,10,1
offer98,Office King MER000009 Warehouse 1,10,0
offer99,Office King MER000009 Warehouse 1,10,1
offer100,Office King MER000009 Warehouse 1,10,0
offer101,Office King MER000009 Warehouse 1,10,1
offer102,Office King MER000009 Warehouse 1,10,0
offer103,Office King MER000009 Warehouse 1,10,0
offer104,Office King MER000009 Warehouse 1,10,0
offer105,Office King MER000009 Warehouse 1,10,0
offer106,Office King MER000009 Warehouse 1,10,0
offer107,Office King MER000009 Warehouse 1,10,1
offer108,Office King MER000009 Warehouse 1,10,0
offer109,Office King MER000009 Warehouse 1,10,1
offer110,Office King MER000009 Warehouse 1,10,1
offer111,Office King MER000009 Warehouse 1,10,1
offer112,Office King MER000009 Warehouse 1,10,0
offer113,Office King MER000009 Warehouse 1,10,0
offer114,Office King MER000009 Warehouse 1,10,0
offer115,Office King MER000009 Warehouse 1,10,0
offer116,Office King MER000009 Warehouse 1,10,0
offer117,Office King MER000009 Warehouse 1,10,1
offer118,Office King MER000009 Warehouse 1,10,1
offer119,Office King MER000009 Warehouse 1,10,1
offer120,Office King MER000009 Warehouse 1,10,0
offer121,Office King MER000009 Warehouse 1,10,0
offer122,Office King MER000009 Warehouse 1,10,1
offer123,Office King MER000009 Warehouse 1,10,1
offer124,Office King MER000009 Warehouse 1,10,0
offer125,Office King MER000009 Warehouse 1,10,1
offer126,Office King MER000009 Warehouse 1,10,0
offer127,Office King MER000009 Warehouse 1,10,0
offer128,Office King MER000009 Warehouse 1,10,0
offer129,Office King MER000009 Warehouse 1,10,0
offer130,Office King MER000009 Warehouse 1,10,1
offer131,Office King MER000009 Warehouse 1,10,1
offer132,Office King MER000009 Warehouse 1,10,1
offer133,Office King MER000009 Warehouse 1,10,0
offer134,Office King MER000009 Warehouse 1,10,0
offer135,Office King MER000009 Warehouse 1,10,0
offer136,Office King MER000009 Warehouse 1,10,1
offer137,Office King MER000009 Warehouse 1,10,1
offer138,Office King MER000009 Warehouse 1,10,1
offer139,Office King MER000009 Warehouse 1,10,0
offer140,Office King MER000009 Warehouse 1,10,1
offer141,Office King MER000009 Warehouse 1,10,1
offer142,Office King MER000009 Warehouse 1,10,0
offer143,Office King MER000009 Warehouse 1,10,1
offer144,Office King MER000009 Warehouse 1,10,0
offer145,Office King MER000009 Warehouse 1,10,0
offer146,Office King MER000009 Warehouse 1,10,0
offer147,Office King MER000009 Warehouse 1,10,1
offer148,Office King MER000009 Warehouse 1,10,0
offer149,Office King MER000009 Warehouse 1,10,0
offer150,Office King MER000009 Warehouse 1,10,1
offer151,Office King MER000009 Warehouse 1,10,1
offer152,Office King MER000009 Warehouse 1,10,1
offer153,Office King MER000009 Warehouse 1,10,1
offer154,Office King MER000009 Warehouse 1,10,0
offer155,Office King MER000009 Warehouse 1,10,0
offer156,Office King MER000009 Warehouse 1,10,0
offer157,Office King MER000009 Warehouse 1,10,1
offer158,Office King MER000009 Warehouse 1,10,1
offer159,Office King MER000009 Warehouse 1,10,0
offer160,Office King MER000009 Warehouse 1,10,1
offer161,Office King MER000009 Warehouse 1,10,0
offer162,Office King MER000009 Warehouse 1,10,1
offer163,Office King MER000009 Warehouse 1,10,1
offer164,Office King MER000009 Warehouse 1,10,1
offer165,Office King MER000009 Warehouse 1,10,1
offer166,Office King MER000009 Warehouse 1,10,1
offer167,Office King MER000009 Warehouse 1,10,0
offer168,Office King MER000009 Warehouse 1,10,1
offer169,Office King MER000009 Warehouse 1,10,1
offer170,Office King MER000009 Warehouse 1,10,0
offer171,Office King MER000009 Warehouse 1,10,1
offer172,Office King MER000009 Warehouse 1,10,1
offer173,Office King MER000009 Warehouse 1,10,0
offer174,Office King MER000009 Warehouse 1,10,0
offer175,Office King MER000009 Warehouse 1,10,1
offer176,Office King MER000009 Warehouse 1,10,0
offer177,Office King MER000009 Warehouse 1,10,1
offer178,Office King MER000009 Warehouse 1,10,1
offer179,Office King MER000009 Warehouse 1,10,1
offer180,Office King MER000009 Warehouse 1,10,1
offer181,Office King MER000009 Warehouse 1,10,1
offer182,Office King MER000009 Warehouse 1,10,1
offer183,Office King MER000009 Warehouse 1,10,0
offer184,Office King MER000009 Warehouse 1,10,0
offer185,Office King MER000009 Warehouse 1,10,0
offer186,Office King MER000009 Warehouse 1,10,0
offer187,Office King MER000009 Warehouse 1,10,1
offer188,Office King MER000009 Warehouse 1,10,1
offer189,Office King MER000009 Warehouse 1,10,0
offer190,Office King MER000009 Warehouse 1,10,1
offer191,Office King MER000009 Warehouse 1,10,0
offer192,Office King MER000009 Warehouse 1,10,1
offer193,Office King MER000009 Warehouse 1,10,0
offer194,Office King MER000009 Warehouse 1,10,0
offer195,Office King MER000009 Warehouse 1,10,0
offer196,Office King MER000009 Warehouse 1,10,1
offer197,Office King MER000009 Warehouse 1,10,1
offer198,Office King MER000009 Warehouse 1,10,0
offer199,Office King MER000009 Warehouse 1,10,0
offer200,Office King MER000009 Warehouse 1,10,1
offer201,Office King MER000009 Warehouse 1,10,0
offer202,Office King MER000009 Warehouse 1,10,0
offer203,Office King MER000009 Warehouse 1,10,1
offer204,Office King MER000009 Warehouse 1,10,1
offer205,Office King MER000009 Warehouse 1,10,0
offer206,Office King MER000009 Warehouse 1,10,1
offer207,Office King MER000009 Warehouse 1,10,1
offer208,Office King MER000009 Warehouse 1,10,0
offer209,Office King MER000009 Warehouse 1,10,1
offer210,Office King MER000009 Warehouse 1,10,0
offer211,Office King MER000009 Warehouse 1,10,0
offer212,Office King MER000009 Warehouse 1,10,1
offer213,Office King MER000009 Warehouse 1,10,0
offer214,Office King MER000009 Warehouse 1,10,1
offer215,Office King MER000009 Warehouse 1,10,1
offer216,Office King MER000009 Warehouse 1,10,0
offer217,Office King MER000009 Warehouse 1,10,1
offer218,Office King MER000009 Warehouse 1,10,0
offer219,Office King MER000009 Warehouse 1,10,1
offer220,Office King MER000009 Warehouse 1,10,1
offer221,Office King MER000009 Warehouse 1,10,0
offer222,Office King MER000009 Warehouse 1,10,1
offer223,Office King MER000009 Warehouse 1,10,0
offer224,Office King MER000009 Warehouse 1,10,1
offer225,Office King MER000009 Warehouse 1,10,0
offer226,Office King MER000009 Warehouse 1,10,1
offer227,Office King MER000009 Warehouse 1,10,0
offer228,Office King MER000009 Warehouse 1,10,1
offer229,Office King MER000009 Warehouse 1,10,0
offer230,Budget Stationery MER000010 Warehouse 1,10,0
offer231,Budget Stationery MER000010 Warehouse 1,10,1
offer232,Budget Stationery MER000010 Warehouse 1,10,1
offer233,Budget Stationery MER000010 Warehouse 1,10,0
offer234,Budget Stationery MER000010 Warehouse 1,10,1
offer235,Budget Stationery MER000010 Warehouse 1,10,1
offer236,Budget Stationery MER000010 Warehouse 1,10,0
offer237,Budget Stationery MER000010 Warehouse 1,10,0
offer238,Budget Stationery MER000010 Warehouse 1,10,1
offer239,Budget Stationery MER000010 Warehouse 1,10,0
offer240,Budget Stationery MER000010 Warehouse 1,10,1
offer241,Budget Stationery MER000010 Warehouse 1,10,1
offer242,Budget Stationery MER000010 Warehouse 1,10,1
offer243,Budget Stationery MER000010 Warehouse 1,10,1
offer244,Budget Stationery MER000010 Warehouse 1,10,1
offer245,Budget Stationery MER000010 Warehouse 1,10,1
offer246,Budget Stationery MER000010 Warehouse 1,10,0
offer247,Budget Stationery MER000010 Warehouse 1,10,1
offer248,Budget Stationery MER000010 Warehouse 1,10,0
offer249,Budget Stationery MER000010 Warehouse 1,10,0
offer250,Budget Stationery MER000010 Warehouse 1,10,0
offer251,Budget Stationery MER000010 Warehouse 1,10,1
offer252,Budget Stationery MER000010 Warehouse 1,10,0
offer253,Budget Stationery MER000010 Warehouse 1,10,0
offer254,Budget Stationery MER000010 Warehouse 1,10,1
offer255,Budget Stationery MER000010 Warehouse 1,10,1
offer256,Budget Stationery MER000010 Warehouse 1,10,0
offer257,Budget Stationery MER000010 Warehouse 1,10,0
offer258,Budget Stationery MER000010 Warehouse 1,10,1
offer259,Budget Stationery MER000010 Warehouse 1,10,0
offer260,Budget Stationery MER000010 Warehouse 1,10,1
offer261,Budget Stationery MER000010 Warehouse 1,10,0
offer262,Budget Stationery MER000010 Warehouse 1,10,1
offer263,Budget Stationery MER000010 Warehouse 1,10,0
offer264,Budget Stationery MER000010 Warehouse 1,10,1
offer265,Budget Stationery MER000010 Warehouse 1,10,1
offer266,Budget Stationery MER000010 Warehouse 1,10,1
offer267,Budget Stationery MER000010 Warehouse 1,10,0
offer268,Budget Stationery MER000010 Warehouse 1,10,0
offer269,Budget Stationery MER000010 Warehouse 1,10,1
offer270,Budget Stationery MER000010 Warehouse 1,10,0
offer271,Budget Stationery MER000010 Warehouse 1,10,0
offer272,Budget Stationery MER000010 Warehouse 1,10,1
offer273,Budget Stationery MER000010 Warehouse 1,10,0
offer274,Budget Stationery MER000010 Warehouse 1,10,0
offer275,Budget Stationery MER000010 Warehouse 1,10,1
offer276,Budget Stationery MER000010 Warehouse 1,10,1
offer277,Budget Stationery MER000010 Warehouse 1,10,0
offer278,Budget Stationery MER000010 Warehouse 1,10,0
offer279,Budget Stationery MER000010 Warehouse 1,10,0
offer280,Budget Stationery MER000010 Warehouse 1,10,1
offer281,Budget Stationery MER000010 Warehouse 1,10,1
offer282,Budget Stationery MER000010 Warehouse 1,10,1
offer283,Budget Stationery MER000010 Warehouse 1,10,1
offer284,Budget Stationery MER000010 Warehouse 1,10,1
offer285,Budget Stationery MER000010 Warehouse 1,10,0
offer286,Budget Stationery MER000010 Warehouse 1,10,1
offer287,Budget Stationery MER000010 Warehouse 1,10,0
offer288,Budget Stationery MER000010 Warehouse 1,10,0
offer289,Budget Stationery MER000010 Warehouse 1,10,0
offer290,Budget Stationery MER000010 Warehouse 1,10,0
offer291,Budget Stationery MER000010 Warehouse 1,10,1
offer292,Budget Stationery MER000010 Warehouse 1,10,1
offer293,Budget Stationery MER000010 Warehouse 1,10,0
offer294,Budget Stationery MER000010 Warehouse 1,10,0
offer295,Budget Stationery MER000010 Warehouse 1,10,0
offer296,Budget Stationery MER000010 Warehouse 1,10,1
offer297,Budget Stationery MER000010 Warehouse 1,10,0
offer298,Budget Stationery MER000010 Warehouse 1,10,1
offer299,Budget Stationery MER000010 Warehouse 1,10,0
offer300,Budget Stationery MER000010 Warehouse 1,10,0
offer301,Budget Stationery MER000010 Warehouse 1,10,1
offer302,Budget Stationery MER000010 Warehouse 1,10,0
offer303,Budget Stationery MER000010 Warehouse 1,10,1
offer304,Budget Stationery MER000010 Warehouse 1,10,0
offer305,Budget Stationery MER000010 Warehouse 1,10,0
offer306,Budget Stationery MER000010 Warehouse 1,10,1
offer307,Budget Stationery MER000010 Warehouse 1,10,0
offer308,Budget Stationery MER000010 Warehouse 1,10,0
offer309,Budget Stationery MER000010 Warehouse 1,10,1
offer310,Budget Stationery MER000010 Warehouse 1,10,1
offer311,Budget Stationery MER000010 Warehouse 1,10,0
offer312,Budget Stationery MER000010 Warehouse 1,10,0
offer313,Budget Stationery MER000010 Warehouse 1,10,1
offer314,Budget Stationery MER000010 Warehouse 1,10,0
offer315,Budget Stationery MER000010 Warehouse 1,10,1
offer316,Budget Stationery MER000010 Warehouse 1,10,0
offer317,Budget Stationery MER000010 Warehouse 1,10,1
offer318,Budget Stationery MER000010 Warehouse 1,10,0
offer319,Budget Stationery MER000010 Warehouse 1,10,0
offer320,Budget Stationery MER000010 Warehouse 1,10,0
offer321,Budget Stationery MER000010 Warehouse 1,10,0
offer322,Budget Stationery MER000010 Warehouse 1,10,0
offer323,Budget Stationery MER000010 Warehouse 1,10,0
offer324,Budget Stationery MER000010 Warehouse 1,10,1
offer325,Budget Stationery MER000010 Warehouse 1,10,1
offer326,Budget Stationery MER000010 Warehouse 1,10,1
offer327,Budget Stationery MER000010 Warehouse 1,10,0
offer328,Budget Stationery MER000010 Warehouse 1,10,0
offer329,Budget Stationery MER000010 Warehouse 1,10,1
offer330,Budget Stationery MER000010 Warehouse 1,10,1
offer331,Budget Stationery MER000010 Warehouse 1,10,1
offer332,Budget Stationery MER000010 Warehouse 1,10,1
offer333,Budget Stationery MER000010 Warehouse 1,10,0
offer334,Budget Stationery MER000010 Warehouse 1,10,1
offer335,Budget Stationery MER000010 Warehouse 1,10,1
offer336,Budget Stationery MER000010 Warehouse 1,10,0
offer337,Budget Stationery MER000010 Warehouse 1,10,1
offer338,Budget Stationery MER000010 Warehouse 1,10,0
offer339,Budget Stationery MER000010 Warehouse 1,10,0
offer340,Budget Stationery MER000010 Warehouse 1,10,0
offer341,Budget Stationery MER000010 Warehouse 1,10,0
offer342,Budget Stationery MER000010 Warehouse 1,10,1
offer343,Budget Stationery MER000010 Warehouse 1,10,0
offer344,Budget Stationery MER000010 Warehouse 1,10,0
offer345,Budget Stationery MER000010 Warehouse 1,10,1
offer346,Computer Experts MER000011 Warehouse 1,10,1
offer347,Computer Experts MER000011 Warehouse 1,10,1
offer348,Computer Experts MER000011 Warehouse 1,10,1
offer349,Computer Experts MER000011 Warehouse 1,10,0
offer350,Computer Experts MER000011 Warehouse 1,10,1
offer351,Computer Experts MER000011 Warehouse 1,10,1
offer352,Computer Experts MER000011 Warehouse 1,10,0
offer353,Computer Experts MER000011 Warehouse 1,10,1
offer354,Computer Experts MER000011 Warehouse 1,10,0
offer355,Computer Experts MER000011 Warehouse 1,10,1
offer356,Computer Experts MER000011 Warehouse 1,10,0
offer357,Computer Experts MER000011 Warehouse 1,10,1
offer358,Computer Experts MER000011 Warehouse 1,10,1
offer359,Computer Experts MER000011 Warehouse 1,10,0
offer360,Computer Experts MER000011 Warehouse 1,10,1
offer361,Computer Experts MER000011 Warehouse 1,10,1
offer362,Computer Experts MER000011 Warehouse 1,10,1
offer363,Computer Experts MER000011 Warehouse 1,10,0
offer364,Computer Experts MER000011 Warehouse 1,10,1
offer365,Computer Experts MER000011 Warehouse 1,10,0
offer366,Computer Experts MER000011 Warehouse 1,10,1
offer367,Computer Experts MER000011 Warehouse 1,10,1
offer368,Computer Experts MER000011 Warehouse 1,10,0
offer369,Computer Experts MER000011 Warehouse 1,10,0
offer370,Computer Experts MER000011 Warehouse 1,10,1
offer371,Computer Experts MER000011 Warehouse 1,10,0
offer372,Computer Experts MER000011 Warehouse 1,10,0
offer373,Computer Experts MER000011 Warehouse 1,10,0
offer374,Computer Experts MER000011 Warehouse 1,10,1
offer375,Computer Experts MER000011 Warehouse 1,10,0
offer376,Computer Experts MER000011 Warehouse 1,10,1
offer377,Computer Experts MER000011 Warehouse 1,10,1
offer378,Computer Experts MER000011 Warehouse 1,10,1
offer379,Computer Experts MER000011 Warehouse 1,10,0
offer380,Computer Experts MER000011 Warehouse 1,10,1
offer381,Computer Experts MER000011 Warehouse 1,10,0
offer382,Computer Experts MER000011 Warehouse 1,10,1
offer383,Computer Experts MER000011 Warehouse 1,10,1
offer384,Computer Experts MER000011 Warehouse 1,10,0
offer385,Computer Experts MER000011 Warehouse 1,10,0
offer386,Computer Experts MER000011 Warehouse 1,10,1
offer387,Computer Experts MER000011 Warehouse 1,10,0
offer388,Computer Experts MER000011 Warehouse 1,10,0
offer389,Computer Experts MER000011 Warehouse 1,10,1
offer390,Computer Experts MER000011 Warehouse 1,10,1
offer391,Computer Experts MER000011 Warehouse 1,10,1
offer392,Computer Experts MER000011 Warehouse 1,10,0
offer393,Computer Experts MER000011 Warehouse 1,10,1
offer394,Computer Experts MER000011 Warehouse 1,10,1
offer395,Computer Experts MER000011 Warehouse 1,10,0
